formula,gap,2Dpfx,2Dpfy,CBM_GW,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,CBM_HSE06,Eng
ScS,2.043186,6.969696777777781,6.842946888888888,-0.639003111111111,-0.903421428571428,5.600027777777779,3.485155,1.9892319666666656,1.7053280000000002,1.6812400000000007,5.821369999999999,3.4261477777777767,1.9832234999999985,-4.093890666666664,-3.2476854166666658,-2.690956666666663,2.216470476190475,-1.5473239158478929,8.647546955888913
ScSe,1.746983571428571,7.200925333333336,7.203641166666663,-0.5553475972222219,-0.9127504761904756,5.115156111111111,2.90350125,1.7788531,1.457384333333333,1.3195450000000006,5.071643333333334,2.982439444444444,1.749575666666666,-3.853618666666667,-2.835529583333332,-2.430418333333329,2.2782504761904736,-2.1194928652049496,11.734285939189824
ScTe,1.284071761904762,8.569012666666664,8.751402333333328,-0.3842281250000001,-0.7283723809523804,3.905618333333336,2.3287041666666664,1.417776566666665,1.555753,1.1576066666666665,3.4522766666666653,2.377117777777777,1.3688670833333334,-3.5110106666666674,-2.1888374999999995,-1.7224694444444428,2.492009142857144,-1.781098977762977,18.11790763428545
YO,2.716483809523809,7.205885611111113,6.531613333333335,-0.5274227361111109,-0.6594547619047623,6.481095555555557,5.645798333333333,2.9717564666666667,2.839955,2.30324,6.727493333333333,5.333687777777779,3.060245,-4.697120666666666,-3.951373749999998,-3.031679999999996,1.9442259047619024,-1.584715561131917,-5.778818410348208
YS,1.899799142857144,7.655662444444441,7.271068222222221,-0.6365503749999998,-0.8273885714285707,5.405733888888887,3.4019995833333327,1.723434666666667,1.747596,1.7504050000000002,5.465983333333332,3.090511666666666,1.7491116666666662,-3.928741333333333,-3.264985416666666,-2.5861655555555534,2.2825295714285674,-1.8036337169562373,6.86592846854839
YSe,1.709266095238096,8.037532999999996,7.684304777777772,-0.5680057222222221,-0.8556476190476183,4.99101333333333,2.7957579166666666,1.7313578000000005,1.6184400000000003,1.4060966666666668,5.02322,2.935044999999999,1.6953466666666666,-3.758592666666668,-2.876760833333333,-2.383575555555555,2.280735523809521,-2.1539882373041905,11.927716452118283
YTe,1.338190809523809,8.820544333333332,8.553806444444438,-0.4872143472222223,-0.7084233333333328,3.841185555555556,2.0961525,1.477041099999999,1.6186783333333332,1.196221666666667,3.368306666666667,2.4100122222222224,1.531896583333333,-3.477429333333333,-2.2099145833333336,-1.7317227777777764,2.536808095238096,-2.0617898741891656,15.519002701599597
LaO,2.611935714285716,7.2900200555555585,7.208930222222223,-0.4741022083333333,-0.5917980952380956,6.290949999999994,5.316481666666666,2.912312466666667,2.8790883333333324,2.15951,6.2395266666666656,5.052040555555559,3.10638,-4.6632240000000005,-3.855348333333331,-2.774978888888887,2.0071939999999984,-1.4421532335978426,-6.05808081310979
LaS,1.7881710000000004,8.241668222222216,7.501202888888885,-0.6477396666666668,-0.7942814285714276,5.193873333333331,3.1833712499999995,1.877337133333333,1.987524,1.6764300000000003,5.38706,2.999188333333332,1.8278831666666664,-3.9364186666666687,-3.355657916666664,-2.568146666666663,2.200653523809521,-1.731759492088317,5.896944724837098
LaSe,1.730642380952382,8.287407555555552,8.458329222222217,-0.622966111111111,-0.7952514285714274,4.892583888888886,2.90251625,1.8142858,1.7094110000000002,1.5115650000000005,4.892676666666667,2.9355733333333327,1.7431648333333325,-3.763670000000002,-3.1047199999999986,-2.455558888888887,2.251950047619046,-1.867434014969352,9.63189088461715
LaTe,1.3366033809523807,9.149913333333336,8.934819444444438,-0.5272552777777778,-0.7231309523809517,3.824918888888888,2.013762916666667,1.5716729,1.6575116666666665,1.1655433333333334,3.380956666666666,2.3153572222222216,1.5677162499999993,-3.42735,-2.5448145833333333,-1.8728694444444431,2.432548857142855,-1.7920492130665122,10.510805750367766
TiO,2.37684704761905,6.664879555555558,5.932256000000002,-0.5627814166666663,-0.7315190476190484,4.825675555555556,3.940169166666668,2.1048090000000004,2.563231666666665,1.847515000000001,4.568613333333334,3.454431111111111,2.105857500000001,-4.531020666666664,-2.691382083333332,-2.2311311111111114,2.32757895238095,-1.5458920332245234,-3.3901170169571984
TiS,1.7036698095238103,6.937129111111116,6.210536277777778,-0.6696169999999995,-0.8562623809523805,3.719050555555556,2.267589166666666,1.5536150333333336,1.6675016666666669,1.2835200000000002,3.9851833333333326,2.198646111111111,1.5209566666666674,-3.8479933333333305,-2.157866666666666,-2.1047272222222224,2.6338612380952364,-1.582120074646023,6.9587441673612105
TiSe,1.3166496190476196,6.811906222222224,6.526758611111108,-0.496174972222222,-0.7949852380952377,3.3822333333333336,1.7217104166666666,1.2701248666666674,1.3606053333333332,1.0672283333333332,3.164473333333332,1.6450119444444442,1.2629826666666673,-3.639741999999999,-1.8310995833333328,-1.8139166666666653,2.581288238095235,-1.6782396630549656,11.00742431531907
TiTe,1.0124124285714284,7.628108166666667,7.801304277777773,-0.3321111388888891,-0.612340476190476,3.060959444444445,1.5337554166666665,1.0944103666666667,1.3081896666666668,0.7325349999999998,3.012696666666668,1.631574166666666,1.1675035833333334,-3.3376313333333334,-1.4318866666666676,-1.3445755555555543,2.7790256666666644,-1.3883542475603208,15.350177171098657
ZrO,2.116488571428573,7.637170722222222,6.101513000000002,-0.3861498055555555,-0.3234333333333333,4.306515000000004,3.7507383333333335,2.214553833333334,2.387068333333333,1.7518449999999997,4.301603333333333,2.8367927777777786,1.8689638333333327,-4.329233333333332,-1.424112916666666,-1.482015000000002,3.1521034761904705,-0.7231167755233353,-7.019298305746769
ZrS,1.3651114285714283,7.2034910000000005,6.317217666666669,-0.5863821666666664,-0.5715542857142852,3.480437222222222,2.02431375,1.453077100000001,1.5203909999999998,1.1146333333333336,3.5763033333333336,1.6908244444444434,1.4121563333333338,-3.787846,-1.4015870833333333,-1.2659894444444442,3.4799621428571386,-1.3104510341019395,3.7760632182395213
ZrSe,1.3364378095238096,7.717882944444446,6.936874777777775,-0.5287327638888888,-0.5653809523809519,3.172945000000001,1.6312270833333329,1.3826035666666665,1.3144816666666668,1.1004600000000004,3.1549033333333325,1.616398333333334,1.2414915,-3.5825346666666675,-1.198789166666667,-1.0894444444444449,3.6435490476190417,-1.293368760431817,8.3105059515933
ZrTe,1.0433417142857144,8.341547611111112,8.442718833333332,-0.3836394861111112,-0.3473195238095237,2.856290000000002,1.4740645833333326,1.1976169333333335,1.183193333333333,0.7741416666666663,2.9172466666666668,1.6708430555555558,1.2008974166666668,-3.240186666666668,-0.5937899999999996,-0.6766299999999996,3.975677666666665,-1.3509982718113625,12.625225999505886
HfO,2.0501130000000023,7.4314905,6.171154555555557,-0.2903900972222222,-0.3241214285714287,4.112527222222221,3.1777245833333336,2.314570766666668,2.341991333333333,1.58272,4.089823333333334,2.196919444444444,1.7142735,-4.156719999999999,-1.0081212499999994,-1.0084650000000004,3.367093428571426,-0.4415806501700538,-3.234419434799527
HfS,1.283702142857143,7.131962777777778,6.382968111111111,-0.534000833333333,-0.4304752380952384,3.274000555555556,1.6875091666666662,1.4393199999999997,1.640634666666667,1.1039766666666664,3.4135533333333337,1.4708761111111108,1.305513166666667,-3.619090000000004,-1.1754487500000006,-1.02439,3.745204809523804,-0.9676697133551536,5.453944287173755
HfSe,1.1946826666666674,7.339002722222223,7.010840666666668,-0.5348404583333329,-0.5151676190476184,2.958925555555558,1.6406849999999995,1.296502966666666,1.370235,1.0964716666666672,3.0854533333333323,1.5858666666666663,1.163590166666666,-3.460576000000002,-1.080518333333334,-0.921912222222223,3.9078758095238046,-1.1664918302110785,9.4622097990718
HfTe,0.9494562380952376,8.174395944444447,8.695223499999997,-0.388348277777778,-0.3355071428571426,2.717274444444446,1.539456666666666,1.1685779666666671,1.1384856666666665,0.6788116666666663,2.653846666666668,1.5616127777777775,1.1298334166666664,-3.124616000000002,-0.4375466666666663,-0.6230094444444444,4.10325914285714,-0.9906034151654796,14.531851239322755
VO,1.7972494285714284,6.3995297222222245,5.781350000000003,-0.5618452083333333,-0.980824761904762,4.410532222222227,2.548661666666668,1.8260061333333333,1.6643186666666665,1.6855683333333338,4.087563333333334,2.2951105555555555,1.7317790000000004,-4.470811999999996,-2.312009166666666,-2.143810555555558,2.701051476190474,-1.3048872693984097,0.5571212804808496
VS,1.24719919047619,6.58261827777778,5.9742941111111145,-0.5737936527777774,-0.7927757142857136,3.3645055555555587,1.6699554166666664,1.2355833333333337,1.1808930000000002,1.228105,3.207383333333332,1.6401616666666663,1.2913273333333333,-3.773101333333333,-2.02080375,-1.754816111111112,2.942768428571428,-1.0037345590208429,5.944269685562055
VSe,1.025096666666667,6.58682255555556,6.203696777777776,-0.4458763749999999,-0.7159090476190473,3.088836666666668,1.2389004166666664,1.0577241666666672,1.0469373333333332,1.0859683333333336,2.7371633333333336,1.2535405555555552,1.0224841666666662,-3.5531873333333333,-1.702120416666667,-1.4877483333333332,3.05015976190476,-1.3117805084659977,9.698032099258356
VTe,0.7677936190476183,7.085222222222225,7.367038333333333,-0.2305368333333332,-0.5425499999999999,2.84953388888889,0.90988375,0.9044279000000004,0.8193636666666666,0.6611916666666665,2.729156666666667,1.1131786111111108,0.9255980833333328,-3.235857999999999,-1.1235779166666675,-1.0661988888888876,3.1720450952380945,-1.406800431199649,13.583680324768537
NbO,1.4430494285714277,8.01676588888889,6.791125111111111,-0.1398634166666666,-0.0305566666666667,3.511379444444448,1.90222875,1.6987761,1.400392,1.6084633333333334,3.482343333333334,1.4347966666666665,1.3354463333333328,-3.989524666666665,-0.5774304166666667,-0.7986938888888886,3.703966952380948,-0.3150949813653491,-4.540536406208666
NbS,1.0381335714285715,7.1604350000000005,6.547972277777782,-0.2927955972222222,-0.0051004761904761,2.5285266666666675,1.0531275,1.1647321000000008,1.06083,1.1103850000000006,2.722143333333333,1.0677897222222217,1.0155951666666665,-3.315368000000001,-0.6124183333333333,-0.5150500000000006,4.0728413809523785,-0.445304883073136,2.1645136180036744
NbSe,0.929941523809524,7.447159944444445,7.214793333333331,-0.0268533194444444,0.0541780952380952,2.460804444444445,1.1224562499999995,1.019559033333334,0.8070766666666667,0.9635933333333336,2.312933333333333,1.0033669444444444,0.8975891666666663,-3.081413333333335,-0.4296454166666664,-0.3893511111111113,4.334310666666664,-0.5792990346539476,6.41001406291479
NbTe,0.6953966190476175,8.375704166666667,7.843661222222222,0.0694137361111111,0.09385,2.3262433333333368,1.00547625,0.9343507666666668,0.7456893333333329,0.6182466666666664,2.4451366666666674,0.9971136111111112,0.8591580833333333,-2.831265333333333,0.0970174999999998,-0.0839677777777777,4.535214904761902,-0.7105620991271487,12.68249365859866
TaO,1.4793303333333314,7.82979638888889,7.251885611111108,0.0201197916666667,0.2620099999999999,3.655550000000002,1.8924545833333333,1.8512809666666648,1.5651816666666665,1.4380466666666667,3.6426566666666673,1.28898611111111,1.551879333333333,-4.017634666666663,-0.6053833333333337,-0.5116566666666666,3.9865126666666617,0.0801039803396976,-2.6578932260468946
TaS,0.9622807142857138,7.800869166666665,7.178834888888888,-0.096703611111111,0.3722399999999999,2.503386666666666,1.1996108333333335,1.2107769333333336,1.2449969999999997,0.9675466666666664,2.799296666666667,1.261437222222222,1.066987666666667,-3.3322060000000016,-0.3919674999999997,-0.250698888888889,4.404356238095235,-0.1280093138957979,6.041982794101294
TaSe,0.8955128095238102,8.101423166666669,7.410453333333332,-0.0019465138888888,0.4165966666666666,2.475673888888889,1.136125416666666,1.0930152000000002,0.8864376666666668,0.9006466666666662,2.464776666666666,1.1403036111111111,0.9817861666666664,-3.1530313333333337,-0.1781070833333332,-0.0500933333333333,4.642862285714284,-0.2516689988835202,9.489404353894152
TaTe,0.664519523809523,8.422746000000004,8.40326777777778,0.2796165138888886,0.5537519047619044,2.2910088888888898,0.9085566666666668,0.9189518333333336,0.7951979999999998,0.643328333333333,2.549700000000001,1.0513122222222218,0.9000472499999997,-2.796098666666668,0.3951658333333335,0.2032211111111107,4.799357761904767,-0.3710319684698377,16.256006597472314
CrO,1.16307038095238,6.453848444444444,6.031850222222222,-0.7702313611111107,-1.3684076190476189,4.175131111111117,2.342544583333333,1.527459466666666,1.1928266666666665,1.7321083333333342,3.5870200000000008,1.9148894444444453,1.3804993333333329,-4.453973333333331,-3.066434583333334,-2.362047222222221,2.224269809523809,-1.4424418509344248,1.8134433598940447
CrS,1.0172480000000008,6.814936388888891,5.703362833333334,-0.5597759861111112,-0.70936619047619,3.14301277777778,1.497788750000001,1.0962293666666674,1.148056,1.1457533333333336,2.9380400000000004,1.2792622222222223,1.0965345000000004,-3.605926666666667,-2.1086875000000003,-1.8643200000000009,2.379741714285714,-1.2766360347901289,6.079022305898853
CrSe,0.7957382857142851,6.63103216666667,5.884756388888888,-0.3699643333333334,-0.6389876190476186,2.886326666666668,1.1109,0.992457966666668,1.0622906666666665,1.037981666666667,2.3991100000000003,1.1409272222222229,0.8855900000000001,-3.370910666666667,-1.6710899999999993,-1.5231872222222216,2.408302095238093,-1.4236671598673252,9.12344598748139
CrTe,0.6630692380952371,7.312068111111111,6.305079777777778,-0.17843225,-0.5766890476190472,2.6712672222222227,0.9428079166666666,0.8422154333333334,0.7927746666666667,0.6882249999999999,2.4096200000000003,1.0657586111111117,0.880208,-3.137422,-1.2745933333333337,-1.1473555555555548,2.649193619047617,-1.1171131937015806,11.79683867705998
MoO,0.8589046666666658,7.144500333333334,6.309247111111113,-0.1075798333333333,-0.7194228571428577,3.3646916666666704,1.6040670833333328,1.3279315999999997,1.1125673333333332,1.5287199999999994,3.035466666666667,1.0293602777777775,1.0059274999999994,-3.739213333333332,-0.7425887500000005,-1.1917194444444457,3.8274175238095216,-0.3863225118944733,-0.2209699780641614
MoS,0.6652380952380945,6.9115741111111095,5.892858333333335,-0.0222902083333333,-0.2417342857142856,2.446659444444444,0.9252575000000004,0.8842530666666678,0.8523833333333333,1.0242283333333335,2.1097100000000006,0.8595311111111105,0.8528558333333334,-3.194535333333336,-0.5317550000000001,-0.7905650000000004,4.244293714285711,-0.395065661330144,3.522844473189963
MoSe,0.5649807142857143,7.254917000000001,6.193149444444444,0.0440086944444444,-0.2290247619047618,2.3428788888888885,0.91943,0.7769511666666676,0.8906603333333333,0.9347866666666672,1.9460300000000008,0.7959949999999995,0.7047301666666668,-2.927416,-0.3739804166666664,-0.5936933333333333,4.441932428571424,-0.4001778880552764,6.186866621013252
MoTe,0.533314571428571,7.929637500000002,6.868310722222223,0.0833175833333334,-0.1007419047619044,2.2881977777777807,0.7515337500000001,0.7479035666666678,0.7037426666666663,0.6962766666666667,2.228336666666668,0.889631666666666,0.7379519999999999,-2.773216000000001,0.1139320833333332,-0.4233227777777779,4.560637714285713,-0.4597071984030892,11.605879614009936
WO,1.0818740952380943,7.773051388888888,7.390247388888887,0.3538930833333332,-0.1566261904761901,3.492013333333335,1.5830895833333336,1.6255425,1.2218206666666664,1.254071666666667,2.783916666666668,1.0580466666666668,1.227189499999999,-3.915374666666666,-0.7624854166666666,-0.884793888888888,4.169863238095231,0.1629257413600002,3.454302829994951
WS,0.7961275238095225,7.643783944444449,6.735064,0.5056761250000003,0.5984642857142851,2.429270555555554,1.109088333333334,1.0620437000000005,1.0164046666666666,0.9526983333333334,2.1521133333333333,1.0278005555555556,0.9619695,-3.157756000000003,-0.4871120833333334,-0.5889050000000001,4.57181142857143,0.4782570563283571,4.784274801154865
WSe,0.7149486666666656,7.585906277777783,6.473929388888889,0.7108739305555557,0.6695638095238085,2.399998333333332,0.9776320833333334,0.9253257333333342,0.8412369999999999,0.8982133333333335,2.061973333333334,0.917358055555555,0.818162,-2.920804000000003,-0.1489549999999999,-0.3102966666666664,4.79069942857143,0.3332790330885942,10.408839425021782
WTe,0.5343235238095235,7.966151833333339,7.163481833333332,0.7041839722222225,0.598477619047618,2.134163888888889,0.7870629166666664,0.7555338666666674,0.6784793333333333,0.7518150000000005,1.9911666666666668,0.9563655555555556,0.7632881666666664,-2.7638120000000024,0.518956666666667,-0.0693544444444444,4.873443380952384,0.1986403426644074,14.3883299788478
MnO,1.4464540476190488,5.755573611111112,5.4836285555555575,-0.8392219027777782,-1.546585238095237,4.994407777777782,2.874099166666665,1.5738354333333342,1.281145,1.664723333333333,4.707606666666667,2.2015038888888903,1.4545435,-5.162056666666664,-3.442172083333334,-2.754999444444442,2.1194074285714284,-1.801557465388848,1.5049822583760601
MnS,1.285669904761906,6.190633166666669,4.977487111111112,-0.706993944444445,-0.9384147619047613,3.6737611111111095,1.6658725000000003,1.5014765999999995,1.0721916666666669,1.0748866666666668,3.5405033333333336,1.6896083333333334,1.2914671666666673,-4.066859333333332,-2.972391250000001,-2.471881666666665,2.2726980476190493,-1.1526081068679637,6.0032325476916455
MnSe,1.0122502380952376,6.185104888888892,5.413114055555555,-0.6054252361111112,-0.8589976190476186,3.324044444444446,1.19595,1.2290334000000005,1.166267333333333,0.9733666666666666,2.856980000000001,1.3870252777777785,1.0675938333333337,-3.954134,-2.5943345833333336,-2.14711222222222,2.329572619047618,-1.134899206835752,7.978949753522542
MnTe,0.8018488571428574,7.293319777777776,6.024835277777777,-0.5130662500000001,-0.664345238095237,2.9349111111111137,0.8742429166666664,1.0327090666666665,0.7654496666666666,0.6517933333333334,2.439220000000001,1.141523611111111,1.0548463333333336,-3.576259333333333,-2.082440416666667,-1.562933333333333,2.5278721904761894,-1.021461251208113,9.107923491432693
TcO,0.9207119999999988,6.940141000000003,6.054556555555557,-0.5071748472222217,-0.819755714285714,3.622539444444449,1.6895441666666668,1.2784534,0.9017299999999996,1.583268333333333,3.227186666666668,0.9544683333333333,0.9813808333333331,-4.063252666666663,-1.2094779166666667,-1.2904044444444458,3.649288333333332,-1.0037844180656346,-0.10184232841370999
TcS,0.6634865238095236,6.783862166666664,5.495627944444443,-0.3977720416666666,-0.2867104761904762,2.643555000000001,0.8529566666666668,0.9052538333333344,0.8013989999999999,1.073391666666667,2.4412000000000007,0.9609263888888891,0.8547374999999998,-3.395892,-0.8317175000000004,-0.7161811111111117,3.9500095714285695,-0.4144395591986966,4.6551050006912575
