Formula,Band gap
Ag2Au2Cl8,0.909
Ag2Br2,1.779
Ag2Br2S4,1.167
Ag2Br2Se4,1.237
Ag2Br2Te4,1.214
Ag2Br6,0.023
Ag2C8N6,3.412
Ag2Cl2,1.7845
Ag2Cl2S4,1.186
Ag2Cl2Se4,1.34
Ag2Cl2Te4,1.291
Ag2Cl6,0.1335
Ag2Cr2P4S12,0.997
Ag2F2,0.5265
Ag2F4,0.004
Ag2I2,1.8210000000000002
Ag2I2S4,1.188
Ag2I2Se4,1.054
Ag2I2Te4,1.025
Ag2MoO4,2.085
Ag2MoS4,0.94
Ag2MoSe4,0.695
Ag2MoTe4,0.313
Ag2O2,0.164
Ag2P2Se6,0.037
Ag2ReBr6,0.562
Ag2ReCl6,0.778
Ag2ReF6,1.024
Ag2ReI6,0.169
Ag2S2,0.481
Ag2Se2,0.375
Ag2Te2,0.159
Ag2V2P4S12,0.028
Ag2WO4,1.95
Ag2WS4,1.38
Ag2WSe4,1.07
Ag2WTe4,0.587
Ag8C4N8,1.61
AgBiP2Se6,1.101
AgGaP2Se6,0.91
AgInP2S6,1.317
AgInP2Se6,0.863
AgScP2S6,2.017
AgScP2Se6,1.634
AgSnF6,0.602
AgVP2Se6,0.35
Al2Br2O2,4.142
Al2Br2S2,2.263
Al2Br2Se2,1.535
Al2Br6,3.2005
Al2Cl2O2,5.729
Al2Cl2S2,2.334
Al2Cl2Se2,1.416
Al2Cl6,4.6645
Al2FeS4,0.663
Al2I2O2,2.219
Al2I2S2,1.615
Al2I2Se2,1.493
Al2I6,1.446
Al2Mg2Se5,1.114
Al2MgS4,2.048
Al2MgSe4,1.064
Al2O2,0.6575
Al2O4,0.017
Al2P2S6,1.305
Al2P2Se6,0.602
Al2S2,1.409
Al2Se2,1.3783333333333332
Al2Si2Te6,1.115
Al2Te2,1.2343333333333335
Al2Tl2F8,2.255
Al8Te12,1.775
AlAs,1.237
AlLiP2S6,2.824
AlN,2.893
AlP,2.26
AlSb,1.507
As2,1.483
As2Br6,2.477
As2H2O10Te2,3.389
As2I6,1.911
As2O6Sb2,3.974
As2O8P2,4.367
As2O8Sb2,3.383
As4,0.835
As4Ge4Se4,1.735
As4H2O12P2,4.556
As4O12S2,4.456
As4O6,3.9743333333333335
As4O8,3.232
As4S6,2.2634999999999996
As4Se6,1.735
As8Ge4,1.186
As8Si4,1.422
AsB,0.757
AsBrS,1.4020000000000001
AsBrSe,1.3625
AsBrTe,1.1505
AsClS,1.633
AsClSe,1.545
AsClTe,1.384
AsIS,0.779
AsISe,0.7985
AsITe,0.6555
Au2Br2,0.9460000000000001
Au2Br2Se4,0.841
Au2Br2Te4,1.013
Au2Br6,0.041
Au2CaF12,1.566
Au2Cl2,0.019
Au2Cl2Te4,0.981
Au2Cl6,0.104
Au2I2,0.8049999999999999
Au2I2Se4,0.715
Au2I2Te4,0.711
Au2I6,0.006
Au2MoO4,2.64
Au2MoS4,0.801
Au2MoSe4,0.592
Au2MoTe4,0.217
Au2O2,0.087
Au2ReF6,0.182
Au2S2,0.4053333333333333
Au2Se2,0.239
Au2Te2,0.16375
Au2WO4,2.962
Au2WS4,1.071
Au2WSe4,0.76
Au2WTe4,0.323
Au4I4Te4,1.071
B3C10N3,0.811
BN,4.667
BP,0.898
BSb,0.314
Ba2H8O6,4.228
Ba4F4Sb4Se8,1.386
BaBr2,4.539333333333333
BaCl2,5.185666666666667
BaF12Sb2,4.966
BaF2,5.655
BaI2,3.721
BeH4O4P2,5.994
Bi2,0.557
Bi2Br2,0.4335
Bi2Br2O2,1.431
Bi2Br2S2,0.969
Bi2Br2Se2,0.658
Bi2Br6,1.8485
Bi2Cd2Cl2O4,2.845
Bi2Cl2,0.447
Bi2Cl2O2,1.733
Bi2Cl2S2,0.943
Bi2Cl2Se2,0.636
Bi2Cl6,2.2705
Bi2Cu2S4,0.136
Bi2F6,4.317
Bi2Ge3O9,3.364
Bi2I2,0.388
Bi2I2O2,1.074
Bi2I2S2,0.837
Bi2I2Se2,0.706
Bi2I6,1.2395
Bi2In2,0.037
Bi2MnTe4,0.11
Bi2O2,0.06
Bi2O9Si3,3.733
Bi2OS2,0.566
Bi2OSe2,0.461
Bi2OTe2,0.222
Bi2P2S6,0.655
Bi2P2Se6,0.69
Bi2P2Te6,0.393
Bi2S2,0.07725
Bi2S2Se,0.412
Bi2S2Te,0.021
Bi2S3,0.47
Bi2SSe2,0.354
Bi2STe2,0.158
Bi2Se2,0.12725
Bi2Se2Te,0.111
Bi2Se3,0.271
Bi2SeTe2,0.121
Bi2Te2,0.083
Bi2Te3,0.083
Bi4B4O12,2.865
Bi4Sr2O8,2.704
Bi8Rh4,0.014
BiBrS,1.0394999999999999
BiBrSe,0.8765000000000001
BiBrTe,0.56
BiClS,1.216
BiClSe,1.0430000000000001
BiClTe,0.565
BiCrAs,0.014
BiCuP2Se6,1.009
BiHO6Se2,3.007
BiIS,0.589
BiISe,0.52
BiITe,0.379
Br2Ge,2.0463333333333336
Br2Ge2N2,1.5
Br2Sb2,0.222
Br6Sb2,2.333
BrSSb,1.3215
BrSbSe,1.2665
BrSbTe,1.1855
C2F2,3.165
C2H2,3.46
C6N2,0.396
C6N8,1.265
CF2Si,1.935
CH2Si,3.781
Ca2Br2H2,4.194
Ca2C2F2O6,0.839
Ca2Cl4H8O4,5.714
Ca2Cl4O8,2.819
Ca2CoO3,0.048
Ca2I2,0.134
Ca2Sn4F12,3.924
Ca4As4,0.998
Ca4O12Te4,3.969
CaBr2,4.5776666666666666
CaCl2,5.361666666666667
CaF2,6.451
CaF2O2,2.825
CaH2O2,3.713
CaH2S2,3.815
CaI2,3.486
Cd2H4O8Se2,4.104
Cd2Mn3O8,1.102
Cd2P2S6,1.887
Cd2P2Se6,1.271
Cd2P2Te6,0.809
Cd2S2,0.893
Cd2S4,1.52
Cd2Se2,0.701
Cd2Se4,1.363
Cd2Te2,0.49266666666666664
Cd2Te4,1.068
Cd4I4O4,0.023
CdBr2,2.7876666666666665
CdC4Cl2H4N2,2.176
CdCl2,3.5273333333333334
CdClHO,2.517
CdF2,3.791
CdF2O2,1.573
CdGaInS4,0.206
CdH2O2,2.244
CdH2S2,2.261
CdI2,1.987
CdO2,0.141
CdPb2Cl2O2,2.869
CdS2,0.6795
Cl2Ge,2.315
Cl2Ge2N2,1.851
Cl2Sb2,0.218
ClSSb,1.4925000000000002
ClSbSe,1.423
ClSbTe,1.3245
Co2Br2,0.0325
Co2Br4O6Sb4,0.831
Co2Br6,0.4945
Co2Cl2S2,0.008
Co2Cl6,0.57
Co2F2O4,0.467
Co2H2O4,0.391
Co2H2S4,0.364
Co2H4O8Se2,0.476
Co2I2,0.0185
Co2I6,0.2655
Co4Br4O4,0.176
Co4S8,0.322
CoBr2,0.17400000000000002
CoC4Cl2H4N2,0.316
CoC4H8N2O4,0.393
CoCl2,0.17300000000000001
CoCl2O8,0.735
CoF2,0.302
CoHfF6,0.827
CoRe2O8,0.516
CoZrBr6,0.388
Cr2Br2O2,0.501
Cr2Br2S2,0.455
Cr2Br2Se2,0.179
Cr2Br6,1.51
Cr2Cl2O2,0.647
Cr2Cl2S2,0.46
Cr2Cl2Se2,0.176
Cr2Cl6,1.735
Cr2Cu2O8,0.12
Cr2Cu2P4S12,1.078
Cr2F4,1.396
Cr2Ge2Te6,0.125
Cr2I2S2,0.331
Cr2I6,0.891
Cr2Mo2S8,1.014
